//word	wrong	right
irreconcilable	uhn sml>	uhn sy
ishtar	ihshmh>ta	ihsh ta
isogeothermic	swa> 	suh
limy	LY ma>eh	LY meeh
linocut	lmh>nu	LY nu
lobulation	yuh lma>A 	yuh LA 
lowestoft	la>OS	LOS
lyrico-dramatic	LIHR uh koh dswa> M	LIHR uh koh druh M
mercantilist	<NOBR>-ma>ih	<NOBR>-ih
mesophytic	uh FIHT ihk, ma>	uh FIHT ihk, m
milanese	uh neesmh>, 	uh nees,
miserable	MIHZ uhr uh buhl, mihsmh>ru	MIHZ uhr uh buhl, mihs ru
misogyny	mih sojmh>uh	mih soj uh
mithraic	mihth raymh>ih	mihth ray ih
molelike	ma>OL	MOL
monomial	ma>o 	mo 
nonintervention	ihn tuhr vehnsmh>sh	ihn tuhr vehn sh
nonnitrogenous	nonml>ny	non ny
northwestwards	wehstmh>wu	wehst wu
nullipore	<NOBR>-ma>or	<NOBR>-or
ochrea	OK ree ee, OH krma>eh	OK ree ee, OH kreh
oldfangled	OHLD FANG gwa>ld	OHLD FANG guh ld
olduwan	OL dwa> w	OL duh w
ophiology	ee OL swa> j	ee OL uh j
opotherapy	uh THEHR uh pa>eh	uh THEHR uh peeh
osteria	tuh reesmh>uh	tuh reeh uh
ourology	u ROL uh jma>eh	u ROL uh jeeh
ozalid	osmh>uh	OS uh
pararescue	uh rehsmh>ky	uh rehs ky
paucity	PAW swa> t	PAW suh t
pentothal sodium	pehnsmh>tu	pehn tu
phenolic	fih nohsmh>li	fih noh li
phenotypical	fml>nu	f nu
pillbox	PIHL boksml>	PIHL boks
pipless	pihsmh>li	pih li
polyatomic	ee uh tosmh>ih	ee uh tom ih
poult-de-soie	pooml>du	poo du
pre-english	pree ihnsmh>li	pree ihn li
prestissimo	prehs TIHS wa> m	prehs TIHS uh m
primate	pma>IH	pm IH
probenecid	proh BEHN wa> s	proh BEHN uh s
prologuize	prohmh>la	proh la
prosenchyma	pros EHNG kih swa>	pros EHNG kih muh
puffbird	PUHF pa>	PUHF burd
purpurate	PUR pyuh ma>at	PUR pyuh rat
stinkbug	disgreeable	disagreeable
resilience	Rubber hresilience	Rubber has resilience
ornament	oonor	or honor
accustomed	familia	familiar.
tactile	palpable:	palpable.
villainy	infam	infamy.
thirty-eight	a.38	a .38
3-d	</span>r	</span> or
saunter	carelesait	careles qait
pundit	,</NOBR></i> learned	</NOBR></i>, adjective, learned
andromeda	(def. 2	(def. 2)
numerical	&#166;7	-7
sign	<i>The four signs of the arithmetic operations are addition</i> (+), <i>subtraction</i> (&#173;), <i>multiplication</i> (&times;), <i>division</i> (&#247;).	<i>The four signs of the arithmetic operations are addition (+), subtraction (&#173;), multiplication (&times;), division (&#247;).</i>
sign	<i>The sign</i> (=) <i>means &#147;equals.&#148;</i>	<i>The sign (=) means &#147;equals.&#148;</i>
sign	<i>The signs</i> (+) <i>and</i> (&#173;) <i>in algebra and higher mathematics define positive and negative numbers.</i>	<i>The signs (+) and (&#173;) in algebra and higher mathematics define positive and negative numbers.</i>
parasitic	gendearmery	gendarmery
overplant	one aa	one area
pap boat	eightteenth	eighteenth
reside	00 years	100 years
phthalic anhydride	chorine	chlorine
sludge	is ludge	is sludge
meter	1,650,-763	1,650,763
come-on	In siasy	In six easy
sensibilize	sensitiv sensitize	sensitive sensitize
mandrel	</span> r	</span> or
paris	</span> r	</span> or
orbiter	somethin that	something that
floatboard	at th circumference	at the circumference
impression	on th dry fields	on the dry fields
garbology	Among xx	Among aficionados
past	apast	are past
program	schooprogram	school program
rumble	militarumble	military rumble
snakeroot	buttonsnakeroot	button snakeroot
zymurgy	zym&#x0113;	z&#x0233;&#x0301;m&#x0113;
zyme	zym&#x0113;	z&#x0233;&#x0301;m&#x0113;
zymo-	zym&#x0113;	z&#x0233;&#x0301;m&#x0113;
zymase	zym&#x0113;	z&#x0233;&#x0301;m&#x0113;
zymase	<i><NOBR>-ase</NOBR></i>	<i><NOBR>-ase</NOBR></i> -ase
zygotene	stage of	the stage of
zygospore	algae.	algae and fungi.
zygomatic process	zygoma.	zygoma. See diagram under <B>face</B>.
zwicky galaxy	small area.	small area: <FONT COLOR="#404040"><i>Efforts to find objects resembling Seyfert nuclei and quasars have led to the investigation of ... Zwicky compact galaxies and others</i> (Scientific American).</FONT>
zowie	delight.	delight: <FONT COLOR="#404040"><i>He snapped a cheroot in two. "Zowie" he said</i> (Punch).</FONT>
repeal	tt law	that law
repetitive	The xt	The text
repeating decimal	3333 +,.2323 +.	3333+, .2323+.
repellent	unattractiv	unattractive:
replant	arms legs	arms, legs
replication	duicating	duplicating
zoology	log&#x00ED;	logi
zonian	Zone.	Zone: <FONT COLOR="#404040"><i>Many Zonians ... regard the Zone as something sacred</i> (Time). </FONT>
zolaism	realism.	realism or naturalism: <FONT COLOR="#404040"><i>Set the maiden fancies wallowing in the troughs of Zolaism</i> (Tennyson).</FONT>
zoetrope	object.	object. Also, <span class="wb-dict-headword"><B>zootrope</B></span>.
devil dance	.</B></span></NOBR>	</B></span></NOBR>.
gangsta rap	.</B></span></NOBR>	</B></span></NOBR>.
junk art	.</B></span></NOBR>	</B></span></NOBR>.
liberal nationalism	.</B></span></NOBR>	</B></span></NOBR>.
slam-dance	.</B></span></NOBR>	</B></span></NOBR>.
zizz	nap.	nap or snooze.
zip code	]</p>	, the U.S Postal Service system of coding by zones for faster mail sorting and delivery, introduced in 1963]</p>
zip code	a letter.	a letter, package, or address.
zip	my dress.</i></FONT>	my dress.</i> <i>He zipped up his coat before going out.</i></FONT>
zip	zest to.	zest to. <FONT COLOR="#404040"><i>This drink will zip you up.</i></FONT>
zip	with a zipper.	with a zipper. <FONT COLOR="#404040"><i>The jacket zips open easily.</i></FONT>
zingy	zesty.	zesty. <FONT COLOR="#404040"><i>A soupcon of wisdom, a lot of wit are laced into Jean Kerr's zingy comedy</i> (Time).</FONT>
zinger	size.	size; corker. <FONT COLOR="#404040"><i>Every actress needs one zinger of a part early in her career</i> (London Times).</FONT>
renunciant	renounces, the world	renounces the world
replica	in Plymouth.	in Plymouth, Massachusetts.
report	otate	or state
representative fraction	<SMALL>6</SMALL>2,500	<SMALL>62,500</SMALL>
reprimand	aptain	Captain
horography	tim	time
liturgical	Englis	English
underwork	secret r insidious	secret or insidious
inductee	in World r I	in World War I
multisensory	with r involving	with or involving
office	pantry, r laundry	pantry, or laundry
harmonic	<SUP>1</SUP>/<SMALL>3</SMALL>	&#x2153;
series	<SUP>1</SUP>/<SMALL>8</SMALL>	&#x215B;
solidus	<SUP>1</SUP>/<SMALL>3</SMALL>	&#x2153;
inch	<SMALL>3</SMALL>6	<SMALL>36</SMALL>
second	<SMALL>6</SMALL>0	<SMALL>60</SMALL>
second	<SMALL>3</SMALL>600	<SMALL>3600</SMALL>
simple fraction	&#190;	<SUP>3</SUP>/<SMALL>4</SMALL>
zimbabwean	Rhodesia).	Rhodesia): <FONT COLOR="#404040"><i>To demonstrate on the Rhodesia question, the young Zimbabweans ... raised hand-drawn posters in the gallery</i> (London Times).</FONT>
zigzag stitch	difficult.	difficult or awkward.
zigzag	turns of a zigzag	turns of a zigzag, as in a line or path
zero population growth	deaths.	deaths: <FONT COLOR="#404040"><i>the ZPG (zero population growth) movement which advocates a halt in the U.S. growth rate</i> (Kingsley Davis).</FONT>
zero hour	begin.	begin; crucial movement.
zero	direction.	direction: <FONT COLOR="#404040"><i>The weather station announced zero visibility.</i></FONT>
zendo	Buddhism:	Buddhism: <FONT COLOR="#404040"><i>We gather in silence outside the zendo and do ... various forms of yoga and calisthenics</i> (Lawrence Shainberg).</FONT>
zecchin	Turkey.	Turkey: <FONT COLOR="#404040"><i>If you don't choose to submit to be cheated by them out of a ducat here and a zecchin there, you will be cheated by them out of your picture</i> (John Ruskin). </FONT>
zebrawood	similar woods	similar woods or the trees or shrubs yielding them
zebedee	father	the father
ZBB	budgeting.	budgeting: <FONT COLOR="#404040"><i>ZBB critics point to its cost in management time, and the mind-boggling paper work involved</i> (Maclean's). </FONT>
zax	holes.	holes: <FONT COLOR="#404040"><i>Chicago's A to Z Rental ... rents everything for the home from axes to zaxes</i> (Time).</FONT>
zapotec	influences.	influences: <FONT COLOR="#404040"><i>The Maya, the Zapotecs, the Mixtecs, and the Aztecs evidently developed urban communities on a major scale</i> (Scientific American).</FONT>
zany	idiotic.	idiotic: <FONT COLOR="#404040"><i>[<em>He</em>] deliriously festooned himself with pith helmets, monocles, drooping mustaches, sou'westers - a new and zanier assortment every show</i> (Maclean's).</FONT>
zaniness	behavior.	behavior: <FONT COLOR="#404040"><i>Ginsberg, for all his carefully cultivated (and natural) zaniness, is a writer far above Kerouac in my estimation</i> (John Ciardi).</FONT>
zag	of a zigzag.	of a zigzag: <FONT COLOR="#404040"><i>When an American Communist functionary has nightmares, he dreams that he zigged when the party line zagged</i> (Newsweek).</FONT>
escape	cescaped	cry escaped
strike	balll	ball
accusation	agaist	against
actualize	Its	It&rsquo;s
actualize	youre	you&rsquo;re
air taxi	pform	perform
conduct	of energy;	of energy);
disposal	(of something	(of something).
fringe time	</SMALL>:	</SMALL>):
minuscule	(of a letter	(of a letter) 
pervade	mark:	mark):
take	administered:	administered):
cavalier	verb.),	verb.
beseem	<BR><i>Archaic.</i>	<i>Archaic.</i><BR>
beseem	$\s*(<i>transitive verb)\.</i>	<NOBR><I><B>&#150;\1</i></B></I></NOBR> 
clean and jerk	$([\xFF\s]*)(<BR>an exercise)	<BR>\1<NOBR><I><B>&#150;<i>noun</i></B></I></NOBR>\2
decompress	$(<ol>)([\xFF\s]*)	<BR>\2<NOBR><I><B>&#150;<i>transitive verb</i></B></I></NOBR>\1
crystal ball	<BR><i>Slang.</i>	<i>Slang.</i>
don't	$,([\xFF\s]*)(<BR>do not)	<BR>\1<NOBR><I><B>&#150;<i>verb</i></B></I></NOBR>\2
first nations	$([\xFF\s]*)(<BR> the aboriginal)	<BR>\1<NOBR><I><B>&#150;<i>noun</i></B></I></NOBR>\2
gaff	$(?<=<i>noun, verb\.</i> )(<ol>)([\xFF\s]*)	<BR>\2<NOBR><I><B>&#150;<i>noun</i></B></I></NOBR>\1
hight	<BR><i>past tense	<i>past tense
hight	<BR><i>Archaic.</i>	<i>Archaic.</i>
made	$([\xFF\s]*)(<BR>past tense)	<BR>\1<NOBR><I><B>&#150;<i>verb</i></B></I></NOBR>\2
pimp	$([\xFF\s]*)(<BR> a man)	<BR>\1<NOBR><I><B>&#150;<i>noun</i></B></I></NOBR>\2
pimp	intransitive verb,.v.t.	v.i., v.t.
pimp	slang	Slang.
piss	<BR><i>Slang</i>	<i>Slang</i>
reboot	$(<ol>)([\xFF\s]*)	<BR>\2<NOBR><I><B>&#150;<i>v.i., v.t.</i></B></I></NOBR>\1
reboot	transitive verb.	transitive verb, noun.
re-gift	$\btransitive verb,	transitive verb, noun.
re-gift	$([\xFF\s]*)(<BR>\s*<i>Informal\.</i>)	<BR>\1<NOBR><I><B>&#150;<i>v.i., v.t.</i></B></I></NOBR>\2
re-gift	$(<p>.+?)(<BR>.+?)(?=</p>)	\2\1
upend	$(<ol>)([\xFF\s]*)	<BR>\2<NOBR><I><B>&#150;<i>transitive verb</i></B></I></NOBR>\1
aside	$(?<=<FONT class="dictionary">)(.+?)(<A NAME="ent_.+?)(?=<ol>)	\2\1
run	acti:	action:
run	oones	of tones
range	$<BR>\s*<BR>(<span class="wb-dict-headword"><B>Compass</B></span>[\xFF\s]*)<BR>	\1
overcompensation	of th social	of the social
patter	sound th make	sound they make
reckon	find th number	find the number
song	song of th brook	song of the brook
trip	by th pallet	by the pallet
wen	form of th in Old	form of this in Old
rise	agaist	against
woolly	woooly	wooly
destructive	tnding	tending
ayurveda	$\bhe ancient	the ancient
careless	$\bhe boy	The boy
conquest	$\bhe conquest of	the conquest of
ekuele	$\bhe unit of	the unit of
footnote	$\bhe reads	If he reads
freight	$\bhe machinery	The machinery
set	arraement	arrangement
line	&#188;0	<SUP>1</SUP>/<SMALL>40</SMALL>
consumers'	<span class="wb-dict-headword"><B>consumer</B></span> <span class="wb-dict-headword"><B>cooperative</B></span>	<span class="wb-dict-headword"><B>consumer cooperative</B></span>
country	<B>across</B></span>	<B>across</B></span> (
handle	have</B></span> <span class="wb-dict-headword"><B>	have 
tape	get</B></span> <span class="wb-dict-headword"><B>	get 
make	ruler d	ruler and
go	he goe,	he goes,
hearing	he judge	The judge
inner	he kept	She kept
nincompoopery	he nincompoopery	the nincompoopery
pottle	he liquid	the liquid
risk	he amount	the amount
strike	he first person	The first person
tontine	he members	the members
supple	ve supple	very supple
to	$(the wal)\b	\1l.
with	with y 	with my 
metal	usually ave	usually have
penicillium	sh as	such as
digital clock	dial.	dial: <FONT COLOR="#404040"><i>Electronic numbers are becoming a familiar sight ... on consumer items such as pocket calculators and digital clocks</i> (Scientific American).</FONT>
digital computer	mathematically.	mathematically: <FONT COLOR="#404040"><i>Increasing use is being made of analogue and digital computers for analysis of data and for testing theories of biological processes</i> (Science News Letter).</FONT>
reprocessed	me over	made over
repulsion	protons,</i> <i>	protons, 
resegregate	seegation	segregation
rerun	motionpicture	motion-picture
accused	t formally	the formally
again	m not	may not
air vesicle	i water	in a water
albedo	o neutrons	of neutrons
amount	n existence	in existence
antitragus	t helix	the helix
concentric	center.	center: <FONT COLOR="#404040"><i>concentric circles.</i></FONT>
blear	The d dog	The old dog
cailcedrin	extent n the	extent in the
capital	i capital	is a capital
reserve	onergy	or energy
replicate	reproduce; duplicate.	reproduce; duplicate: <FONT COLOR="#404040"><i>What then distinguishes virus DNA, which replicates itself at the expense of other pathways of cellular anabolism?</i> (Science).</FONT>
blue-sky	$<span class="wb-dict-headword">(<B>sk\w+</B>)</span>	\1
mythical	 aginary	 imaginary
koto	hands.	hands: <FONT COLOR="#404040"><i>in upper class houses, the koto ... is studied by the daughters as part of their education and refinement</i> (Atlantic).</FONT>
kowtow	</li></ol>	<NOBR><SMALL>SYNONYM(S):</SMALL></NOBR> fawn, truckle.</li></ol>
knuckle	chastisement.	chastisement: <FONT COLOR="#404040"><i>Taking the license away from the underground paper "Georgia Straight" without adequate reason resulted in ... a rap over the knuckles for [the mayor] from the federal government</i> (Canadian Saturday Night).</FONT>
a	AA, etc	AA, AAA, etc
abash	classmates. 	classmates.</i> <i>
apparel	British</i>)	British</i>
cesarevitch	def.1	def. 1
cognation	i claiming	in claiming
cow	home d	home and
defoliate	to e	to be
didymous	i pairs	in pairs
diglot	or n	or in
dimethyl sulfoxide	and w	and now
driftage	what s	what has
actinia	$\bw Latin	New Latin
adult	</FONT> but <FONT COLOR="#404040">	 but 
agalloch	$\bw Latin	New Latin
atomic	$\bf atoms	of atoms
blastoporal	$\bf or	of or
carpintero	$\by one	any one
confederation	t union	the union
cross wind	o automobile	or automobile
destalinization	$\be systematic	the systematic
devil	$\bs an	(as an
dietotherapy	$\be treatment	the treatment
dummy	i affairs	in affairs
enameling	t act	the act
energetics	investigate e	investigate the
equivalence	$\bn in\b	not in
exclusive	$\bn inventor	An inventor
expect	<i>v.t</i>	<i>transitive verb</i>
fall	fall n prices, a fall	fall in prices,</i> <i>a fall
ferula	scented m	scented gum
fetiales	t conclusion	the conclusion
flare-out	i raised	is raised
franc	b the	the
french doors	t sides	the sides
gapes	$\be under	See under
genial	t lower	the lower
germinate	from e	from the
gowpen	o bowl	of a bowl
heave	heaved n	heaved on
heir	$\bn estate	an estate
holothurian	o a class	of a class
house of assembly	$\be Newfoundland	the Newfoundland
hydra	i modern	is a modern
hymenal	of e 	of the 
imp	$\bn falconry	in falconry
inserted	$\be calyx	The calyx
intelligible	n by the	not by the
interrogatory	or t of	or set of
invasion	t growth	the growth
juvenile	i obviously	is obviously
kiloliter	capacity n	capacity in
labor	o achieve	or achieve
lipoprotein	i a lipid	is a lipid
lok sabha	t Lok	the Lok
lot	$\be drew	We drew
magnetic domain	which l	which all
marantaceous	belonging o	belonging to
mars	t sun	the sun
moisture	o the	on the
monochrome	black d	black and
navigate	tubs d	tubs and
need	need f	need of
neuroscience	t sciences	the sciences
new nationalism	old-age d	old-age and
no-brainer	n making	now making
obscure	$\bo a layman	To a layman
odontograph	t surface 	the surface 
offend	o make	of; make
oneself	is e surest	is the surest
op	means f	means of
open	t scriptures	the scriptures
operative	o concerned	of, concerned
order	f admission	for admission
ore	ore y	ore may
orphanage	$\bs supported	has supported
orthotic	devised n	devised an
outlet	o getting	or getting
palatial	$\bt for	fit for
panacea	panaceas n	panaceas in
parabolic mirror	t a point 	to a point 
parallelism	t other	the other
peacemaking	$\be act	the act
poach	ground n	ground in
poise	suspense f	suspense of
polygalaceous	t milkwort	the milkwort
prakrit	$\by one	any one
press box	from e	from the
pressing	n became	now became
pressure	s level	sea level
procession	t street	the street
promoter	operating t	operating but
proterandry	of e pollen	of the pollen
proviso	$\be fixed	be fixed
put	t club	the club
rebellion	t British	the British
recorder	t development	the development
reed canary grass	grown n	grown in
regret	o has	one has
reinterpret	reinterpreted d	reinterpreted and
rejudge	$\bo judge	to judge
rescue	o authority	of authority
restrain	o accord	own accord
resurgent	o total	of total
reverberate	b cast	be cast
ribbon development	stretch o of	stretch out of
ringing	o a bell	of a bell
run	ran o hurriedly	ran on, hurriedly
-ry	t occupation	the occupation
scald	b not	but not
score	damages d not	damages did not
season	the n for	the sun for
seismologist	expert n	expert in
sermon on the mount	t Bible	the Bible
set	$\bo give	to give
shelf	t Gulf	the Gulf
shore	t shore	the shore
sightseer	o places	of places
sing	$sang n\b	sang on
sinuosity	Meander s	Meander is
sirloin	t loin	the loin
sit-in	i which	in which
slave fork	$\bs when	as when
smelt	$\bo refine	to refine
smoker	t smoker	the smoker
snippy	o scraps	of scraps
sociable	helping t	helping at
split	$\br each	for each
spume	t raging	the raging
squint	i chancel	in a chancel
stage	each f	each of
stain	$\bo spot	to spot
stand	the t of	the act of
stare	$\bo gaze	to gaze
steam	$old n\b	old man
stick	hold u rob	hold up; rob
street name	t stocks	the stocks
stride	position s at	position as at
succursal	i like	is like
sun	of t sun	of the sun
sun trap	real n	real sun
sweep	$\be run	end run
swordfishing	$the d\b	the day
theater nuclear forces	NATO d	NATO and
thick	t airports	the airports
thorax	part o the	part of the
three-mile limit	of e country	of the country
tip sheet	use i betting	use in betting
top	to t a top	to put a top
twittering	i flutter	in a flutter
ultraviolet	important n	important in
undirected	$\bt directed	not directed
unordered	Side b side	Side by side
verism	literature d art	literature and art
vibrate	in n elastic	in an elastic
wade	$\bo make	to make
wallah	one o works	one who works
water spider	it m be	it may be
widow's walk	houses t give	houses to give
winter	$\bt last	the last
zero	after i fifth	after its fifth
minor	Under t varying	Under the varying
denial	whave	we have
abstract	ABSTRAKT	ab STRAKT
above	said.</i> <i>	said. 
abri	cave.	cave: <FONT COLOR="#404040"><i>When men are hard-driven, as in war, they will sleep ... in an abri or foxhole or sitting upright in a bucking plane or jeep</i> (Atlantic).</FONT>
abri	sucas	such as
abridged	Reader&#146;s Digest	&ldquo;Reader&#146;s Digest&rdquo;
absquatulate	secrets.</i> <i>	secrets. 
abuse	talking.</i>	talking.</i> <i>By being lazy he abused his opportunity for an education and ruined his chances of entering college. </i>
abuse	a bad light	a bad light.
abuse	injure.	maltreat, injure.
abut	the street.</i>	the street.</i> <i>His land abuts upon mine.</i> <i>The shed abuts against a stone wall.</i>
acclimatize	next.</i> <i>	next. 
accommodate	fitdapt	fit, adapt
account	account.</i> <i>	account. 
accountability	materials.</i> <i>	materials. 
accountant	$<FONT COLOR="#404040"><i>(Accountants.+?)</i></FONT>	\1
acidhead	LSD.	LSD: <FONT COLOR="#404040"><i>He aroused the ire of acidheads when he argued that the pleasures of drug taking are not worth the perils</i> (Time).</FONT>
acquaint	$\bquaint him	acquaint him
acquiesce	<i>We acquiesced	<i>to acquiesce in a decision.</i> <i>We acquiesced
along	$\ba planted	are planted
through	bult	bullet
accept	costrue	construe
quick	movent	movement
aba	peasants.	peasants. Also, <span class="wb-dict-headword"><B>abba</B></span>, <span class="wb-dict-headword"><B>abaya</B></span>.
accordionist	a accordion	an accordion
aerobatics	a old	an old
autonomous	a autonomy	an autonomy
deferred annuity	a annuity	an annuity
fid	$\ba in	as in
fluvioterrestrial	$\ba its	and its
gag order	$\ba urt	a court
smorgasbord	a elaborate	an elaborate
sterigma	a em below	a stem below
swing-over	a ange	a change
utricular	a utcle	a utricle
abstainer	wh abstains	who abstains
ad limina apostolorum	the ly	the Holy
anxiety	$\blt anxiety	felt anxiety
array	ma our	made our
choke	smoke om	smoke from
churn	ti globules	tiny globules
way	po family	poor family
ancestral	hair an	hair is an
annie oakley	Annie Oaky	Annie Oakley
anticonvulsant	areffective	are effective
overeducate	areing	are being
industrial park	moderndustrial	modern industrial
instant	synnder	syn. under
open	open wnd	open wound
voltmeter	anstrument	an instrument
economy	arrangment	arrangement
inception	cmencement	commencement
clap	encouragment	encouragement
treat	oamusement	or amusement
mandarin	admistration	administration
sorrow	afflication	affliction
sign	constlation	constellation
cream	mi that	milk that
cow	intimidate, scare	dispirit,overawe,intimidate, scare
crease	<i>Some cloth is	<i>a tie that does not crease</i> <i>Some cloth is
emeritus	service.	service: <FONT COLOR="#404040"><i>Retirement age for the leaders seems to be about twenty-six, and there is already a substantial list of emeriti</i> (Harper's).</FONT>
emmetrope	emmetropia.	emmetropia: <FONT COLOR="#404040"><i>An uncorrected myope would, of course, derive less benefit from a magnifier than an emmetrope, but he also has less need for one</i> (Hardy and Perrin).</FONT>
flameproof	flameproof.	flameproof: <FONT COLOR="#404040"><i>This resin flameproofs the cotton permanently without harming the other qualities of the fabric</i> (Science News Letter).</FONT> 
flathead	$<BR>(a member.+?Montana\.)	<ol><li>\1</li><li>a Chinook Indian.</li></ol>
habitat	$(<li><A NAME="def_\d+__3">)	<li>a watertight vessel consisting of a laboratory and living quarters for researchers or scientists conducting underwater studies of the ocean over an extended period of time.<FONT COLOR="#404040"><i>Four scientists from the U.S. Department of the Interior spent two months in a four-room habitat, Tektite I, nearly 50 feet below the surface of the sea ...</i> (Myrl Hendershott).</FONT> </li>\1
door	reapproachment	rapprochement
denouncement	denunication	denunciation
enthusiast	zealotanatic	zealot, fanatic
fractional	crtallization	crystallization
restriction	limiticondition	limiting condition
steatosis	degeration	degeneration
sublimation	oxaltation	or exaltation
permineralization	petifaction	petrifaction
riss	thirlaciation	third glaciation
pith	abdominable	abominable
dissolve	dissolve til	dissolve until
do	do the dies	do the dishes
docutainment	&#034;variety	&lsquo;variety
dog-end	dog-en was	dog-ends was
donnybrook	$Knoc\b	Knocko
double-deck	doub-deck	double-deck
easy street	East Street	Easy Street
residue	in cience	in science
resoluble	$\bule\b	uble
resolve	schooave	school have
resonance	arrangements electrons	arrangements of electrons
resonate	&#034;My dad	My dad
varicosity	abnoally	abnormally
expedite	accelere	accelerate
sonics	acoutics	acoustics
pharisee	$\bnd Old	and Old
reverence	the laes	the ladies
entrench	Chrimas	Christmas
epidermis	hover	however
faculty	$of la\b	of law
faineant	Perhaps was	Perhaps he was
hauynite	colo It is	color. It is
resound	go give	to give
respectworthy	wohy	worthy
acquit	evidenc:	evidence:
pleasant	megiving	mean giving
you	<B>you all	<BR><B>you all
right about!	rit about	right about
originally	originallmall	originally small
trotskyite	adocates	advocates
origami	afigures	as figures
alcoholism	alcohism	alcoholism
alternate	altrnate	alternate
potassium citrate	anntacid	antacid
turned comma	abov the	above the
adventitious	cong from	coming from
cross	acro:	across:
ala	aeal	aerial
volitation	$agai\b	again
abudefduf	agle	agile
whole	arom	as from
ferromagnetic	abile	able
(?:anosmic|grand-guignol|ill-fated|inconsiderate|ineffable|kidskin|refresher|repercussive)	$\bdj\b	adj
ineruditely	$\bdv\b	adv
rule	$\bey the	Obey the
(?:ctenophoran|functionalist|low-level|polysyllabical|quaternary|topological)	$\bad\b	adj
(?:divertimento|heterogeneous|terre-a-terre|vaquero)	$\bad\b	and
nordic	aRenner	and Renner
wood vinegar	wood ac.	wood acid.
relish	appre of	approve of
aria	often nsisting	often consisting
yusho	biphenyl.	biphenyl: <FONT COLOR="#404040"><i>In 1968 more than 1000 Japanese ate rice oil seriously contaminated with PCB's ... The affected persones developed darkened skins, eye discharge, severe acne, and other symptoms ... known as yusho, oil disease</i> (George Harvey).</FONT>
reception	$\bansmitter	transmitter
preconceive	what ad	what I had
upper	abe the	above the
goodish	$\bairly	fairly
cold front	$\bagram	diagram
forsaken	abaoned	abandoned
head	irrelevantl violently	irrelevantly; violently
rosy	bght	bright
internal respiration	acarbon	and carbon
lymph	somewhat ke	somewhat like
aerodynamic	$aerodynami\b	aerodynamics
responsible	given h.	given him.
albino	apink	and pink
scum	$\ben Mother	When Mother
antasthmatic	antasmatic	antasthmatic
area	actity	activity
garment	clote	clothe
on-drive	battg	batting
necessary	pt of	part of
respondeat superior	withihe	within the
responsible	&#034;responsibles	&lsquo;responsibles
ressentiment	ohe	of the
rest room	buildiwith	building with
stroll	three.	three 
scent	by cent	by scent
substancial	substce	substance
trouble	hadone	have done
northern	cityr	city
society	caf&#x00E9;society	caf&#x00E9; society
lard	(meabefore	(meat) before
secret	sanothing	said nothing
whore	$a whor\b	a whore.
wow	causby	caused by
tradition	ihis	in this
retribalize	fro that	from that
retro	clichs	cliches
saunter	careles qait	careless gait
integument	roasted.</i> <i>	roasted. 
return	toohis	took this
returnee	bacespecially	back, especially
palaver	talk; flatter	talk; flatter: 
loudspeaker	system.	system: <FONT COLOR="#404040"><i>Horn type loudspeakers ... for all parts of the audio range ...</i> (Roy J. Hoopes).</FONT>
reunionism	reuni.	reunion.
revelation	natu	nature
cachectic	$\bases	cases
dystrophication	algai	algal
elder	archc	archaic
electronographic	amouof	amount of
ffa	agrculture	agriculture
flag officer	admial	admiral
item	accound	account
meander	aimlesslly	aimlessly
ossifrage	$\bammergeier	lammergeier
pregnane	adnocorticotropic	adrenocorticotropic
propeller	pruh L uhr	pruh PEHL uhr
wind	agains the	against the
puseyist	adrent	adherent
rustler	adacity	audacity
seed	arisi in	arising in
silicic	acidir	acidic or
spread	anoquefort	and Roquefort
tropical	aquaum	aquarium
tank	$\batin	Latin
consociate	atng	ating
rectilinear	$\bauty	beauty
devonian	apparance	appearance
rotary club	assoction	association
octofoil	bearingin	bearing in
romance	believeer	believes her
tilt	awng	awning
wraith	bere	before
skin graft	boto	body to
thyme	aratic	aromatic
succor	asisst	assist
barrage balloon	baloon	balloon
record	afforng	affording
charm	aiquark	antiquark
glaived	$\baed	armed
moan	$\baut	about
frequency modulation	$\bbbr	Abbr
boulevard	$\bbbr	Abbr
allopathically	$allopat\b	allopathy
amebicidal	amicide	amebicide
revolutionary	antelevision	and television
revolving	ty pay	they pay
rf.	se.</i>	se</i>).
rflp	(no periods	<br>(no periods
rhabdomyoma	chiefly or	chiefly of
rhachitome	an one	any one
rhesis	saing	saying
rhesis	play poem	play, poem
rheum	$\bars\b	are as
pursuant	$pursuant t\b	pursuant to
detonate	wit a	with a
scallion	$SKAL yuh\b	SKAL yuhn
coincidence	koh suh duhns	koh IHN suh duhns
rhine wine	in he	in the
rhinoceros	spe-cies	species
plasmolysis	$\bhe contraction	the contraction
ratchet	$\bnin\b	not in
supposititious	>- i	>i
lounge	lasy	lazy
irony	humoto	humor to
dynasty	steh	stee
rhumbatron	ultrahigh	ultra-high
riboflavin	</i>]	</i>, its earlier name in England]
slang	usen	used in
representation	delegaton	delegation
wise	curriculumwise	curriculum wise
prominent	wellknown	well-known
ricrac	&#060;	=
rick	&#060;	=
rickshaw	&#060;	=
rich	ricvirtue	rich virtue
richly	richly light	richly dight
richter scale	earth-quakes	earthquakes
ride	maneuverabily	maneuverability
scilla	Scylia	Scylla
ring plover	semipmated	semipalmated
sabbatical year	sabbical	sabbatical
sabertooth	ser-toothed	saber-toothed
